Código Tabela Campo;Nome;Descrição;Código Tabela
20954;DpmStatus;ID abstrato do resumo do IVA;689
20955;DpmAmnt;Valor do adiantamento MC;689
20956;DpmAmntSC;Valor do adiantamento MS;689
20957;DpmAmntFC;Valor do adiantamento ME;689
20958;DpmDrawn;Sacado para adiantamento;689
20959;DpmPrcnt;% adiantamento;689
2096;staType;Tipo de autoridade;72
20960;PaidSum;Total do valor pago;689
20961;PaidSumFc;Total do valor pago (ME);689
20962;PaidSumSc;Total do valor pago (MS);689
20963;FolioPref;Cadeia de prefixo de portfólio;689
20964;FolioNum;Nº fólio;689
20965;DpmAppl;Adiantamento aplicado MC;689
20966;DpmApplFc;Adiantamento aplicado ME;689
20967;DpmApplSc;Adiantamento aplicado MS;689
20968;LPgFolioN;Nº do fólio para última página no documento;689
20969;Header;Cabeçalho;689
2097;TaxRate;Taxa de imposto;72
20970;Footer;Rodapé;689
20971;Posted;Adiantamento foi lançado;689
20972;OwnerCode;Autor do documento;689
20973;BPChCode;Código canal PN;689
20974;BPChCntc;Pessoa de contato canal PN;689
20975;PayToCode;Pagar a;689
20976;IsPaytoBnk;Pagamento ao banco;689
20977;BnkCntry;Pagamento ao país do banco;689
20978;BankCode;Pagamento para o código do banco;689
20979;BnkAccount;Pagamento para a conta bancária nº;689
2098;TaxAcct;Conta de imposto;72
20980;BnkBranch;Pagamento a filial do banco;689
20981;isIns;Nota fiscal de reserva;689
20982;TrackNo;Nº de rastreamento;689
20983;VersionNum;Nº da versão;689
20984;LangCode;Código do idioma;689
20985;BPNameOW;BP_NAME_OVERWRITTEN;689
20986;BillToOW;BILL_TO_OVERWRITTEN;689
20987;ShipToOW;SHIP_TO_OVERWRITTEN;689
20988;RetInvoice;Nota de crédito;689
20989;ClsDate;Data de encerramento documento;689
2099;TaxSum;Valor do imposto;72
20990;MInvNum;Nº da nota fiscal mensal;689
20991;MInvDate;Data da nota fiscal mensal;689
20992;SeqCode;Código da seqüência;689
20993;Serial;Nº de série;689
20994;SeriesStr;Cadeia de séries;689
20995;SubStr;Cadeia de subséries;689
20996;Model;Modelo da nota fiscal;689
20997;TaxOnExp;Imposto sobre total de despesas;689
20998;TaxOnExpFc;Imposto sobre total de despesas (ME);689
20999;TaxOnExpSc;Imposto sobre total de despesas (MS);689
21;FtrOCRSSum;Futuras despesas - crédito do sistema;2
210;StaType;Tipo de autoridade;19
2100;TaxSumFrgn;Valor do imposto (ME);72
21000;TaxOnExAp;Imposto sobre despesas aplicado;689
21001;TaxOnExApF;Imposto sobre despesas adicionais aplicado (ME);689
21002;TaxOnExApS;Imposto sobre despesas adicionais aplicado (MS);689
21003;LastPmnTyp;Último tipo de pagamento;689
21004;LndCstNum;Nº de despesas de importação;689
21005;UseCorrVat;Utilizar grupo IVA de correção;689
21006;BlkCredMmo;Bloquear criação de nota de crédito destino;689
21007;OpenForLaC;Aberto para despesas de importação;689
21008;Excised;Com imposto seletivo;689
21009;ExcRefDate;Data ref.imposto seletivo;689
2101;TaxSumSys;Valor do imposto (MS);72
21010;ExcRmvTime;Hora eliminação imposto seletivo;689
21011;SrvGpPrcnt;Porcentagem de lucro bruto de serviço;689
21012;DepositNum;Nº do depósito;689
21013;CertNum;Nº do certificado;689
21014;DutyStatus;Status do imposto aduaneiro;689
21015;AutoCrtFlw;Criação automática documento de acompanhamento;689
21016;FlwRefDate;Data ref.doc.acompanhamento;689
21017;FlwRefNum;Nº ref.doc.acompanhamento;689
21018;VatJENum;Nº lçto.cont.manual IVA;689
21019;DpmVat;Imposto adiantamento MC;689
2102;BaseSum;Valor base;72
21020;DpmVatFc;Imposto adiantamento ME;689
21021;DpmVatSc;Imposto adiantamento MS;689
21022;DpmAppVat;Imposto aplicado adiantamento MC;689
21023;DpmAppVatF;Imposto aplicado adiantamento ME;689
21024;DpmAppVatS;Imposto aplicado adiantamento MS;689
21025;InsurOp347;347 operação de seguro;689
21026;IgnRelDoc;Ignorar documento relevante no arquivo;689
21027;BuildDesc;Descrição da construção;689
21028;ResidenNum;Número da residência;689
21029;Checker;Controlador;689
2103;BaseSumFrg;Valor base (ME);72
21030;Payee;Recebedor do pagamento;689
21031;CopyNumber;Copiar número;689
21032;SSIExmpt;Isenção SSI;689
21033;PQTGrpSer;Série de grupos da oferta de compra;689
21034;PQTGrpNum;Número do grupo da oferta de compra;689
21035;PQTGrpHW;Manual do grupo da oferta de compra;689
21036;ReopOriDoc;Reabrir ordem original por retorno;689
21037;ReopManCls;Reabrir manualmente ordens fechadas/canceladas;689
21038;DocManClsd;O documento foi fechado manualmente;689
21039;ClosingOpt;Opção de encerramento;689
2104;BaseSumSys;Valor base (MS);72
21040;SpecDate;Data de lançamento especificada pelo usuário;689
21041;Ordered;Pagamento solicitado;689
21042;NTSApprov;NTS autorizado;689
21043;NTSWebSite;Site da Web do imposto de renda;689
21044;NTSeTaxNo;Número do imposto de renda;689
21045;NTSApprNo;Número de autorização do NTS;689
21046;PayDuMonth;Início de;689
21047;ExtraMonth;Nº de meses adicionais;689
21048;ExtraDays;Nº de dias adicionais;689
21049;CdcOffset;Contrapartida de desconto à vista;689
2105;ObjectType;Tipo de objeto;72
21050;SignMsg;Mensagem de entrada da assinatura;689
21051;SignDigest;Criptografia da assinatura;689
21052;CertifNum;Número de certificação;689
21053;KeyVersion;Versão da chave privada;689
21054;EDocGenTyp;Tipo de geração de documento eletrônico;689
21055;ESeries;Série eletrônica;689
21056;EDocNum;Número do documento eletrônico;689
21057;EDocExpFrm;Formato de exportação do documento eletrônico;689
21058;OnlineQuo;Criar cotação on-line;689
21059;POSEqNum;Número do equipamento de ponto de venda;689
2106;LogInstanc;Instância do log;72
21060;POSManufSN;Número de série de fabricação do ponto de venda;689
21061;POSCashN;Número de caixa do ponto de venda;689
21062;EDocStatus;Status do documento eletrônico;689
21063;EDocCntnt;Conteúdo do documento eletrônico;689
21064;EDocProces;Processo de documento eletrônico;689
21065;EDocErrCod;Código de erro do documento eletrônico;689
21066;EDocErrMsg;Mensagem de erro do documento eletrônico;689
21067;EDocCancel;Documento eletrônico - cancelado;689
21068;EDocTest;Documento eletrônico - teste;689
21069;EDocPrefix;Documento eletrônico - prefixo;689
2107;TaxStatus;Status de imposto;72
21070;CUP;Código único do projeto;689
21071;CIG;Identificação do código do contrato;689
21072;DpmAsDscnt;Documento de desconto com adiantamento;689
21073;Attachment;Anexo;689
21074;AtcEntry;Entrada de anexo;689
21075;SupplCode;Código adicional;689
21076;GTSRlvnt;Relevante para GTS;689
21077;BaseDisc;Desconto base em ML;689
21078;BaseDiscSc;Desconto base em MS;689
21079;BaseDiscFc;Desconto base em ME;689
2108;VatApplied;IVA aplicado;72
21080;BaseDiscPr;Porcentagem do desconto de base;689
21081;CreateTS;Hora da criação - Incl.segundos;689
21082;UpdateTS;Atualizar tempo integral;689
21083;SrvTaxRule;Aplicar regra de imposto sobre serviço;689
21084;AnnInvDecR;Referência da declaração de estoque anual;689
21085;Supplier;Fornecedor;689
21086;Releaser;Autorizador de distribuição de mercadoriais;689
21087;Receiver;Autorizador de liberação de mercadorias;689
21088;ToWhsCode;Para o código de depósito;689
21089;AssetDate;Data do valor do ativo fixo;689
2109;VatAppldFC;Imposto utilizado (ME);72
21090;Requester;Usuário solicitando mercadorias;689
21091;ReqName;Nome do usuário;689
21092;Branch;Filial;689
21093;Department;Departamento;689
21094;Email;E-mail;689
21095;Notify;Enviar notificação necessária;689
21096;ReqType;Tipo de solicitante: usuário/empregado;689
21097;OriginType;Origem do documento;689
21098;IsReuseNum;Está reutilizando número do documento;689
21099;IsReuseNFN;Está reutilizando número de nota fiscal;689
211;TaxCode;Código de imposto;19
2110;VatAppldSC;Imposto utilizado (MS);72
21100;DocDlvry;Envio de documento;689
21101;PaidDpm;Pago por adiantamento;689
21102;PaidDpmF;Pago por adiantamento (ME);689
21103;PaidDpmS;Pago por adiantamento (MS);689
21104;EnvTypeNFe;NF-e do tipo de ambiente;689
21105;AgrNo;Número do contrato;689
21106;IsAlt;É alteração;689
21107;AltBaseTyp;Tipo de base de alteração;689
21108;AltBaseEnt;Entrada de base de alteração;689
21109;AuthCode;Código de autorização;689
2111;LineSeq;Seqüência de linhas;72
21110;StDlvDate;Data da entrega inicial;689
21111;StDlvTime;Hora da entrega inicial;689
21112;EndDlvDate;Data da entrega final;689
21113;EndDlvTime;Hora da entrega final;689
21114;VclPlate;Placa do veículo;689
21115;ElCoStatus;Status de comunicação eletrônica;689
21116;AtDocType;Tipo de documento AT;689
21117;ElCoMsg;Mensagem de comunicação eletrônica;689
21118;PrintSEPA;Imprimir notificação prévia de débito direto SEPA;689
21119;FreeChrg;Gratuito (PN);689
2112;DeferrAcct;Conta de imposto diferido;72
21120;FreeChrgFC;Gratuito (PN) - ME;689
21121;FreeChrgSC;Gratuito (PN) - MS;689
21122;NfeValue;Valor da NF-e;689
21123;FiscDocNum;Número do documento fiscal;689
21124;RelatedTyp;Tipo relacionado;689
21125;RelatedEnt;Entrada relacionada;689
21126;CCDEntry;CCD Abs. Entry;689
21127;NfePrntFo;Formato de impressão NF-e;689
21128;ZrdAbs;Número do resumo diário de POS;689
21129;POSRcptNo;Número do recibo de POS;689
2113;BaseType;Tipo de documento base;72
21130;FoCTax;Gratuito (PN) - Imposto;689
21131;FoCTaxFC;Gratuito (PN) - Imposto (ME);689
21132;FoCTaxSC;Gratuito (PN) - Imposto (MS);689
21133;TpCusPres;Tipo de presença de usuário final;689
21134;ExcDocDate;Data de documento de imposto seletivo;689
21135;FoCFrght;Frete gratuito;689
21136;FoCFrghtFC;Frete FC gratuito;689
21137;FoCFrghtSC;Frete MS gratuito;689
21138;InterimTyp;Tipo de provisório;689
21139;PTICode;Código POI;689
2114;BaseAbs;Entrada absoluta de documento base;72
21140;Letter;Carta;689
21141;FolNumFrom;Nº fólio de;689
21142;FolNumTo;Nº página até;689
21143;FolSeries;Série de página;689
21144;SplitTax;Dividir imposto sobre pagamento;689
21145;SplitTaxFC;Dividir imposto sobre pagamento ME;689
21146;SplitTaxSC;Dividir imposto sobre pagamento MS;689
21147;ToBinCode;Para posição no depósito;689
21148;PermitNo;Permit Number;689
;;;
2115;BaseSeq;Seqüência de linhas do documento base;72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2116;DeductTax;Valor de imposto dedutível;72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2117;DdctTaxFrg;Valor de imposto dedutível (ME);72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2118;DdctTaxSys;Valor de imposto dedutível (MS);72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2119;BaseAppld;Valor base aplicado;72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
212;ValidFrom;Válido desde;19
2120;BaseApldFC;Valor base aplicado (ME);72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2121;BaseApldSC;Valor base aplicado (MS);72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2122;NonDdctPrc;% não dedutível;72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2123;NonDdctAct;Conta não dedutível;72
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2124;TaxInPrice;Imposto incluído no preço?;72
;;;
21241;GroupNum;Nº do grupo;690
21242;PymntGroup;Código da condição de pagamento;690
21243;PayDuMonth;Início de;690
21244;ExtraMonth;Nº de meses adicionais;690
21245;ExtraDays;Nº de dias adicionais;690
21246;PaymntsNum;Número de pagamentos;690
21247;CredLimit;Limite de Crédito;690
21248;VolumDscnt;% total de desconto;690
21249;LatePyChrg;% de juros s/contas a receber;690
2125;Exempt;Isento?;72
21250;ObligLimit;Limite de compromisso;690
21251;ListNum;Lista de preços;690
21252;Payments;Pagamento parcial;690
21253;NumOfPmnts;Número de pagamentos;690
21254;Payment1;Primeiro pagamento parcial;690
21255;OpenRcpt;Pgto a receber em aberto;690
21256;DiscCode;Código de desconto;690
21257;DunningCod;Código de advertência;690
21258;BslineDate;Data vencimento baseada em;690
21259;InstNum;Nº de prestações;690
2126;TaxExpAct;Conta de despesas para imposto;72
21260;TolDays;Nº de dias de tolerância;690
21261;VATFirst;Aplicar imposto à primeira prestação;690
21262;ContractID;Nº do contrato;691
21263;CstmrCode;Código parceiro de negócios;691
21264;CstmrName;Nome do parceiro de negócios;691
21265;CntctCode;Código da pessoa de contato;691
21266;Owner;Titular;691
21267;Status;Status contrato;691
21268;CntrcTmplt;Modelo do contrato;691
21269;CntrcType;Tipo de contrato;691
2127;OnHoldTax;Valor de imposto em espera;72
21270;Renewal;Renovação;691
21271;RemindVal;Hora do aviso;691
21272;RemindUnit;Lembrar unidade;691
21273;Duration;Duração da cobertura;691
21274;StartDate;Data de início;691
21275;EndDate;Data final;691
21276;ResponsVal;Tempo de resolução;691
21277;ResponsUnt;Unidade de resolução;691
21278;Descriptio;Descrição;691
21279;SrcDocType;Tipo documento fonte;691
2128;OnHoldTaxF;Valor de imposto em espera (ME);72
21280;DocNum;Documento de origem;691
21281;MonEnabled;Segunda-feira ativada;691
21282;TueEnabled;Terça-feira ativada;691
21283;WedEnabled;Quarta-feira ativada;691
21284;ThuEnabled;Quinta-feira ativada;691
21285;FriEnabled;Sexta-feira ativada;691
21286;SatEnabled;Sábado ativado;691
21287;SunEnabled;Domingo ativado;691
21288;MonStart;Segunda-feira início;691
21289;MonEnd;Segunda-feira fim;691
2129;OnHoldTaxS;Valor de imposto em espera (MS);72
21290;TueStart;Terça-feira início;691
21291;TueEnd;Terça-feira fim;691
21292;WedStart;Quarta-feira início;691
21293;WedEnd;Quarta-feira fim;691
21294;ThuStart;Quinta-feira início;691
21295;ThuEnd;Quinta-feira fim;691
21296;FriStart;Sexta-feira início;691
21297;FriEnd;Sexta-feira fim;691
21298;SatStart;Sábado início;691
21299;SatEnd;Sábado fim;691
213;GrossValFc;Valor bruto (ME);19
2130;InGrossRev;Incluído na receita bruta;72
21300;SunStrart;Domingo início;691
21301;SunEnd;Domingo fim;691
21302;InclParts;Incluir partes;691
21303;InclWork;Incluir trabalho;691
21304;InclTravel;Incluir viagens;691
21305;Attachment;Anexos;691
21306;CreateDate;Data de criação;691
21307;Remarks1;Observações do modelo;691
21308;Remarks2;Observações;691
21309;RemindFlg;Lembrete enviado;691
2131;TaxSumOrg;Valor do imposto original;72
21310;CTR1Count;CTR1 Counter;691
21311;DocEntry;Nº do documento de ligação;691
21312;RemTmDays;Lembrar tempo em dias;691
21313;ResTmHours;Tempo de resposta em horas;691
21314;InclHldays;Incluir feriados;691
21315;SrvcType;Tipo de serviço;691
21316;TermDate;Data da rescisão;691
21317;ResponseV;Tempo resposta;691
21318;ResponseU;Unidade de resposta;691
21319;AtcEntry;Entrada de anexo;691
2132;TaxSumOrgF;Valor do imposto original (ME);72
21320;Transfered;Transferência de exercício;691
21321;TmpltName;Nome do modelo;692
21322;Deleted;Eliminado;692
21323;Renewal;Renovação;692
21324;RemindVal;Lembrar antes da renovação;692
21325;RemindUnit;Lembrar unidade;692
21326;Duration;Duração da cobertura;692
21327;ResponsVal;Valor de resolução;692
21328;ResponsUnt;Unidade de resolução;692
21329;Descriptio;Descrição;692
2133;TaxSumOrgS;Valor do imposto original (MS);72
21330;CntrctType;Tipo de contrato;692
21331;MonEnabled;Segunda-feira ativada;692
21332;TueEnabled;Terça-feira ativada;692
21333;WedEnabled;Quarta-feira ativada;692
21334;ThuEnabled;Quinta-feira ativada;692
21335;FriEnabled;Sexta-feira ativada;692
21336;SatEnabled;Sábado ativado;692
21337;SunEnabled;Domingo ativado;692
21338;MonStart;Segunda-feira início;692
21339;MonEnd;Segunda-feira fim;692
2134;OpenTax;Imposto sobre serviço em aberto;72
21340;TueStart;Terça-feira início;692
21341;TueEnd;Terça-feira fim;692
21342;WedStart;Quarta-feira início;692
21343;WedEnd;Quarta-feira fim;692
21344;ThuStart;Quinta-feira início;692
21345;ThuEnd;Quinta-feira fim;692
21346;FriStart;Sexta-feira início;692
21347;FriEnd;Sexta-feira fim;692
21348;SatStart;Sábado início;692
21349;SatEnd;Sábado fim;692
2135;OpenTaxFC;Imposto sobre serviço em aberto (ME);72
21350;SunStrart;Domingo início;692
21351;SunEnd;Domingo fim;692
21352;InclParts;Incluir partes;692
21353;InclWork;Incluir trabalho;692
21354;InclTravel;Incluir viagens;692
21355;Attachment;Anexos;692
21356;CreateDate;Data de criação;692
21357;Remark;Observações;692
21358;InclHldays;Incluir feriados;692
21359;ResponseV;Valor da resposta;692
2136;OpenTaxSC;Imposto sobre serviço em aberto (MS);72
21360;ResponseU;Unidade de resposta;692
21361;AbsEntry;Entrada de ausência;693
21362;Type;Tipo;693
21363;Param;Parâmetro;693
21364;DocEntry;Nº interno;694
21365;StartRef;Referência do inicío da sessão;694
21366;EventType;Tipo de evento;694
21367;Code;Cycle Code;696
21368;Name;Nome do ciclo;696
21369;Frequency;Freqüência;696
2137;Unencumbrd;Isento de carga;72
21370;Day;Dia;696
21371;Hour;Hora;696
21372;NextDate;Data da próxima contagem;696
21373;Type;Tipo de ciclo;696
21374;SubOption;Subopção;696
21375;Interval;Intervalo;696
21376;EndType;Tipo de final de recorrência;696
21377;MaxOccur;Máximo de ocorrências;696
21378;SeEndDat;Data final da série;696
21379;Sunday;Domingo;696
2138;TaxOnRI;Imposto sobre nota fiscal de reserva;72
21380;Monday;Segunda-feira;696
21381;Tuesday;Terça-feira;696
21382;Wednesday;Quarta-feira;696
21383;Thursday;Quinta-feira;696
21384;Friday;Sexta-feira;696
21385;Saturday;Sábado;696
21386;DayInMonth;Repetir dia no mês;696
21387;Week;Repetir semana no mês;696
21388;DayOfWeek;Repetir dia da semana;696
21389;DashbdCode;Código de dashboard;697
;;;
21390;DashbdName;Nome do dashboard;697
21391;DashbdPath;Caminho do dashboard;697
21392;Note;Descrição do dashboard;697
21393;Status;Status do dashboard;697
21394;JobFlag;Utilizar código de job escalonado;697
21395;JobType;Tipo de job escalonado;697
21396;JobSetting;Configuração do tempo do job escalonado;697
21397;RenewDate;Data da última renovação;697
21398;RenewTime;Hora da última renovação;697
21399;ProcName;Nome do procedimento;697
214;LvlUpdDate;Data atualização nível de advertência;19
;;;
21400;AbsEntry;Chave interna;698
21401;DashEntry;Entrada de dashboard;698
21402;FormID;ID do formulário;698
21403;AbsEntry;Numerador;699
21404;PeriodDate;Data do período;699
21405;UserSign;Assinatura do usuário;699
21406;CreateDate;Data de arquivamento;699
21407;CreateTime;Hora de arquivamento;699
21408;VersionNum;Nº da versão;699
21409;JEPerLen;Duração período lançamento contábil manual;699
;;;
21410;JERef1;Lçto.contábil manual - referência 1;699
21411;JERef2;Lçto.contábil manual - referência 2;699
21412;JEMemo;Lçto.contábil manual - observações;699
21413;JEByProj;Lçto.contábil manual por projeto;699
21414;JEByProf;Lançamento contábil manual por regra de distribuição;699
21415;INPerLen;Duração do período do estoque;699
21416;INPriceSrc;Fonte de preço do estoque;699
21417;INRef1;Referência estoque 1;699
21418;INRef2;Referência estoque 2;699
21419;INMemo;Observações estoque;699
;;;
21420;JEByCurr;Lançamento contábil manual por moeda;699
21421;JEByDIM2;Lançamento contábil manual por dimensão 2;699
21422;JEByDIM3;Lançamento contábil manual por dimensão 3;699
21423;JEByDIM4;Lançamento contábil manual por dimensão 4;699
21424;JEByDIM5;Lançamento contábil manual por dimensão 5;699
21425;DBReduc;Redução BD (MB);699
21426;DBReducPer;Redução BD (%);699
21427;TrandReduc;Redução da transação;699
21428;TranReducP;Redução da transação (%);699
21429;INZeroPrc;Estoque preço zero;699
;;;
21430;TranRedArP;Trans. Reduc. Archived (%);699
21431;DelNonReco;Eliminar linhas OBNK não reconciliadas;699
21432;RunName;Nome da execução do arquivamento de dados;699
21433;RODBGUID;GUID do BD somente leitura para arquivamento;699
21434;ItemCode;Nº do item;700
21435;SysNumber;Nº do sistema;700
21436;DistNumber;Nº unívoco;700
21437;MnfSerial;Nº de série do fabricante;700
21438;LotNumber;Número do lote;700
21439;ExpDate;Data de vencimento;700
;;;
21440;MnfDate;Data de fabricação;700
21441;InDate;Data de admissão;700
21442;GrntStart;Data de início da garantia;700
21443;GrntExp;Data final da garantia;700
21444;CreateDate;Data de criação;700
21445;Location;Loc.;700
21446;Status;Status;700
21447;Notes;Detalhes;700
21448;DataSource;Fonte de dados;700
21449;Transfered;Transferido;700
;;;
21450;itemName;Descrição do item;700
21451;CostTotal;Custo total de lotes;700
21452;Quantity;Quantidade;700
21453;QuantOut;Quantidade de saída;700
21454;PriceDiff;Diferença de preço;700
21455;Balance;Saldo do lote;700
21456;TrackingNt;Nota de controle CCD;700
21457;TrackiNtLn;Linha da nota de controle CCD;700
21458;SumDec;Exatidão de totais para SnB;700
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
21479;ItemCode;Código do item;701
;;;
21480;SysNumber;Nº do sistema;701
21481;WhsCode;Código de depósito;701
21482;Location;Loc.;701
21483;DataSource;Fonte de dados;701
21484;Transfered;Transferido;701
21485;AbsEntry;abs entry;701
21486;MdAbsEntry;MD Abs Entry;701
21487;AbsEntry;Entrada absoluta;702
21488;Enable;Ativar;702
21489;Start;Início;702
;;;
21490;CronString;String Cron;702
21491;AbsEntry;ID da entrada da configuração;703
21492;ConfType;Tipo de configuração;703
21493;Code;Código;703
21494;Descr;Descrição;703
21495;PrcstVal;Valor percentual;703
21496;SuppUnit;Unidade de medida suplementar;703
21497;Export;Válido para exportação;703
21498;Import;Válido para importação;703
21499;StatCode;Código estatístico;703
215;OcrCode2;Código de custos 2;19
;;;
21500;DateFrom;Válido desde;703
21501;DateTo;Válido até;703
21502;TextVal;Valor de texto;703
21503;RuleCode;Código da regra de verificação;704
21504;RuleDesc;Descrição da regra de verificação;704
21505;PastRcp;Incluir entradas de planejamento passado;704
21506;AutoATP;Verificação automática da ATP;704
21507;SLDUncfm;Programar para qtd.não confirmada;704
21508;AllowUncfm;Permitir quantidade não confirmada;704
21509;CmltStrtg;Estratégia de acumulação;704
;;;
21510;DeliStrtg;Estratégia de entrega;704
21511;MaxPrpsls;N° máximo de propostas;704
21512;validFor;Ativo;704
21513;validFrom;Ativo desde;704
21514;validTo;Ativo até;704
21515;frozenFor;Inativo;704
21516;frozenFrom;Inativo desde;704
21517;frozenTo;Inativo até;704
21518;CardCode;Código do PN;706
21519;TrcName;Nome da hierarquia;706
;;;
21520;DateFrom;Válido desde;706
21521;DateTo;Válido até;706
21522;LastUpdate;Última data de atualização;706
21523;WHShaamGrp;Grupo Shaam (imposto retido na fonte);706
21524;DdctPrcnt;% de dedução;706
21525;GroupCode;Código de grupo;707
21526;GroupName;Nome do grupo;707
21527;AbsEntry;Nº interno;708
21528;SetName;Nome do grupo;708
21529;SetDesc;Descrição;708
;;;
21530;CreateDate;Data de criação;708
21531;ModifyDate;Modificado pela última vez;708
21532;UserSign;Assinatura do usuário;708
21533;Target;Tipo de documento de destino;708
21534;PostDate;Data de lançamento;708
21535;TaxDate;Data do documento;708
21536;Series;Série;708
21537;Items;Resumo do documentos de itens;708
21538;ItemSmmry;Método de resumo de itens;708
21539;Service;Resumo de documentos de serviços;708
;;;
21540;ServSmmry;Método de resumo de serviços;708
21541;ExchgRate;Taxa de câmbio;708
21542;CreatDraft;Criar esboços;708
21543;BaseQUT;Resumo de cotação de vendas;708
21544;BaseRDR;Resumo do pedido;708
21545;BaseDLN;Resumo da entrega;708
21546;BaseRDN;Resumo de devoluções;708
21547;BaseResINV;Resumo nota fiscal entrega futura;708
21548;ExpndSel;Outros critérios de seleção;708
21549;SortField;Campo de ordenação;708
;;;
21550;Consolidat;Consolidar;708
21551;ExpandCons;Outras opções de consolidação;708
21552;RCNSummary;Documento de referência;708
21553;ChainCode;Cadeia de varejistas;708
21554;OredrNum1;Nº do pedido de;708
21555;OredrNum2;Até;708
21556;Direct;Direto;708
21557;Indirect;Indireto;708
21558;DoReport;Visão geral de remessa de notas fiscais;708
21559;FileExport;Exportação do arquivo;708
;;;
21560;SavePath;Caminho do arquivo;708
21561;DealNum;Nº de encerramento;708
21562;UseDirect;Direto/indireto;708
21563;NoItmCode;Ignorar nº item se existir nº cat.;708
21564;OnData;Faltam dados;708
21565;OnLedger;Alerta de contabilidade;708
21566;OnInvnt;Alerta do depósito;708
21567;Summary;Resumo;708
21568;AltItmDocs;Process docsc with alt. items;708
21569;PartDelivr;Partial Delivery;708
;;;
21570;ConsiderBP;Consider BP;708
21571;ConsiderTy;Consider Type;708
21572;EDocGenTyp;Tipo de geração de documento eletrônico;708
21573;ESeries;Série eletrônica;708
21574;EDocNum;Número do documento eletrônico;708
21575;ReopOriRdr;Reabrir ordem original por retorno;708
21576;ReopManCls;Reabrir manualmente ordens fechadas/canceladas;708
21577;SeqCode;Código de sequência de nota fiscal do documento de destino;708
21578;UseBaseSeq;Usar sequência de nota fiscal do documento base;708
21579;OnSeqCode;Sequência de nota fiscal em falta;708
;;;
21580;BPLId;Filial;708
21581;DimCode;Código de dimensão;709
21582;DimName;Nome da dimensão;709
21583;DimActive;Ativado? [S/N];709
21584;DllName;Nome DLL;710
21585;DocNum;Nº do documento;711
21586;DocType;Tipo de documento;711
21587;CANCELED;Cancelado;711
21588;Handwrtten;Numeração manual;711
21589;Printed;Impresso;711
;;;
21590;DocStatus;Status do documento;711
21591;InvntSttus;Status do depósito;711
21592;Transfered;Transferência de exercício;711
21593;ObjType;Tipo de objeto;711
21594;DocDate;Data de lançamento;711
21595;DocDueDate;Data de vencimento;711
21596;CardCode;Código do cliente/fornecedor;711
21597;CardName;Nome do cliente/fornecedor;711
21598;Address;Endereço de cobrança;711
21599;NumAtCard;Nº de ref. do cliente/fornecedor;711
216;OcrCode3;Código de custos 3;19
;;;
21600;VatPercent;Taxa de imposto;711
21601;VatSum;Imposto total;711
21602;VatSumFC;Valor do imposto (ME);711
21603;DiscPrcnt;% de desconto para documento;711
21604;DiscSum;Desconto total;711
21605;DiscSumFC;Desconto total em ME;711
21606;DocCur;Moeda do documento;711
21607;DocRate;Taxa de documento;711
21608;DocTotal;Total do documento;711
21609;DocTotalFC;Total do documento em ME;711
;;;
21610;PaidToDate;Pago até a data;711
21611;PaidFC;Pago em ME;711
21612;GrosProfit;Lucro bruto;711
21613;GrosProfFC;Lucro bruto em ME;711
21614;Ref1;Referência 1;711
21615;Ref2;Referência 2;711
21616;Comments;Observações;711
21617;JrnlMemo;Observações do diário;711
21618;TransId;Nº da transação;711
21619;ReceiptNum;Nº do recibo;711
;;;
21620;GroupNum;Código da condição de pagamento;711
21621;DocTime;Hora da geração;711
21622;SlpCode;Vendedor;711
21623;TrnspCode;Tipo de envio;711
21624;PartSupply;Entrega parcial;711
21625;Confirmed;Confirmado;711
21626;GrossBase;Lista de preços para lucro bruto;711
21627;ImportEnt;Nº do pedido;711
21628;SummryType;Método de resumo;711
21629;UpdInvnt;Atualização do depósito;711
;;;
21630;UpdCardBal;Atualizar saldos;711
21631;CntctCode;Pessoa de contato;711
21632;FatherCard;Consolidação do PN;711
21633;SysRate;Preço do sistema;711
21634;CurSource;Moeda base;711
21635;VatSumSy;Valor do imposto (MS);711
21636;DiscSumSy;Desconto total em MS;711
21637;DocTotalSy;Total do documento em MS;711
21638;PaidSys;Pago em MS;711
21639;FatherType;Tipo de resumo superior;711
;;;
21640;GrosProfSy;Lucro bruto em MS;711
21641;UpdateDate;Data de atualização;711
21642;IsICT;Nota Fiscal de Saída + pagamento;711
21643;CreateDate;Data de criação;711
21644;Volume;Volume;711
